UEI,Start_Date,End_Date,Duration_Days,Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
UEI-IMD-FL-2021-0309,2021-07-11 00:00:00,2021-07-11 00:00:00,1.0,Landslide,,Chamoli,Uttarakhand,,,,,3.0,,,,,,IMD,,47,5
UEI-IMD-FL-2021-0310,2021-07-19 00:00:00,2021-07-19 00:00:00,1.0,Heavy Rains,,Uttar Kashi Kashi,Uttarakhand,,,,,3.0,,,,,,IMD,,,5
UEI-IMD-FL-2021-0311,2021-08-29 00:00:00,2021-08-29 00:00:00,1.0,Heavy Rains,,Pithoragarh,Uttarakhand,,,,,7.0,2.0,,,,,IMD,,53,5
UEI-IMD-FL-2021-0312,2021-10-16 00:00:00,2021-10-19 00:00:00,4.0,"Heavy Rain, Landslides & Floods",,"Almora, Bageshwar, Chamoli, Champawat, Nainital, Garhwal, Pithoragarh, Udam Singh Nagar",Uttarakhand,,,,,52.0,17.0,5.0,,,,IMD,,"45, 46, 47, 48, 51, 52, 53, 56",5
UEI-IMD-FL-2022-1098,2022-07-19 00:00:00,2022-07-19 00:00:00,1.0,Heavy rains,,Rudra Prayag,Uttarakhand,,,,,2.0,6.0,,,,,IMD,,54,5
UEI-IMD-FL-2022-1099,2022-08-19 00:00:00,2022-08-19 00:00:00,1.0,Cloudburst,,"Dehradun,",Uttarakhand,,,,,,3.0,5.0,,,,IMD,,"49, 603",5
UEI-IMD-FL-2022-1100,2022-08-19 00:00:00,2022-08-19 00:00:00,1.0,Cloudburst,,Garhwal,Uttarakhand,,,,,2.0,,,,,,IMD,,52,5
UEI-IMD-FL-2022-1101,2022-08-19 00:00:00,2022-08-19 00:00:00,1.0,Cloudburst,,Tehri Garhwal,Uttarakhand,,,,,5.0,,2.0,,,,IMD,,55,5
UEI-IMD-FL-2022-1102,2022-08-28 00:00:00,2022-08-28 00:00:00,1.0,Heavy Rains,,Dehradun,Uttarakhand,,,,,3.0,,,,,,IMD,,49,5
UEI-IMD-FL-2022-1103,2022-09-22 00:00:00,2022-09-22 00:00:00,1.0,Landslides triggered by Heavy Rains,,"Dehradun,",Uttarakhand,,,,,,,,,,,IMD,,"49, 603",5
UEI-IMD-FL-2022-1104,2022-09-22 00:00:00,2022-09-22 00:00:00,1.0,Landslides triggered by Heavy Rains,,Uttar Kashi Kashi,Uttarakhand,,,,,1.0,,,,,,IMD,,,5
UEI-IMD-FL-2023-0574,2023-06-25 00:00:00,2023-06-25 00:00:00,1.0,Heavy rains,,Rudra Prayag,Uttarakhand,,,,,1.0,,,,,,IMD,,54,5
UEI-IMD-FL-2023-0575,2023-06-25 00:00:00,2023-06-25 00:00:00,1.0,Heavy rains,,Uttar Kashi Kashi,Uttarakhand,,,,,1.0,3.0,,,,,IMD,,,5
UEI-IMD-FL-2023-0576,2023-07-09 00:00:00,2023-07-09 00:00:00,1.0,Landslide,,Dehradun,Uttarakhand,,,,,3.0,,,,,,IMD,,49,5
UEI-IMD-FL-2023-0577,2023-07-09 00:00:00,2023-07-09 00:00:00,1.0,Heavy rains,,Udam Singh Nagar,Uttarakhand,,,,,2.0,1.0,,,,,IMD,,56,5
UEI-IMD-FL-2023-0578,2023-07-10 00:00:00,2023-07-10 00:00:00,1.0,Heavy rains,,Uttar Kashi Kashi,Uttarakhand,,,,,4.0,7.0,,,,,IMD,,,5
UEI-IMD-FL-2023-0579,2023-07-11 00:00:00,2023-07-11 00:00:00,1.0,Heavy rains & Landslides,,Pithoragarh,Uttarakhand,,,,,5.0,,,,,,IMD,,53,5
UEI-IMD-FL-2023-0580,2023-07-11 00:00:00,2023-07-11 00:00:00,1.0,Heavy rains & Landslides,,Rudra Prayag,Uttarakhand,,,,,3.0,,,,,,IMD,,54,5
UEI-IMD-FL-2023-0581,2023-07-16 00:00:00,2023-07-16 00:00:00,1.0,Heavy rains & Floods,,Chamoli,Uttarakhand,,,,,5.0,,,,,,IMD,,47,5
UEI-IMD-FL-2023-0582,2023-07-16 00:00:00,2023-07-16 00:00:00,1.0,Heavy rains & Floods,,Rudra Prayag,Uttarakhand,,,,,,,,,,,IMD,,54,5
UEI-IMD-FL-2023-0583,2023-07-17 00:00:00,2023-07-17 00:00:00,1.0,Heavy Rains & Floods,,Rudra Prayag,Uttarakhand,,,,,,14.0,,,,,IMD,,54,5
UEI-IMD-FL-2023-0584,2023-08-04 00:00:00,2023-08-04 00:00:00,1.0,Massive Landslide,,Rudra Prayag,Uttarakhand,,,,,10.0,,13.0,,,,IMD,,54,5
UEI-IMD-FL-2023-0585,2023-08-06 00:00:00,2023-08-06 00:00:00,1.0,Heavy Rains,,Tehri Garhwal,Uttarakhand,,,,,2.0,1.0,,,,,IMD,,55,5
UEI-IMD-FL-2023-0586,2023-08-07 00:00:00,2023-08-07 00:00:00,1.0,Landslide,,Rudra Prayag,Uttarakhand,,,,,3.0,,17.0,,,,IMD,,54,5
UEI-IMD-FL-2023-0587,2023-08-09 00:00:00,2023-08-09 00:00:00,1.0,Landslides,,Rudra Prayag,Uttarakhand,,,,,7.0,3.0,1.0,,,,IMD,,54,5
UEI-IMD-FL-2023-0588,2023-08-10 00:00:00,2023-08-10 00:00:00,1.0,Heavy Rains,,Garhwal,Uttarakhand,,,,,1.0,,,,,,IMD,,52,5
UEI-IMD-FL-2023-0589,2023-08-10 00:00:00,2023-08-10 00:00:00,1.0,Landslide,,Rudra Prayag,Uttarakhand,,,,,5.0,,,,,,IMD,,54,5
