sl_no,slide_no,state,district,location_details,latitude,longitude,material_movement_history_raw
35402,UK/UTT/53J05/2015/1695,Uttarakhand,Uttarkashi,,30.850417,78.275,Rock Slide 2013
35403,UK/UTT/53J05/2015/1809,Uttarakhand,Uttarkashi,,30.850472,78.433878,Rock Slide NA
35404,UK/DEH/53F13/2015/395,Uttarakhand,Dehradun,Palasu -Bhandrouli -Atal,30.850549,77.815659,Debris Slide NA
35405,UK/BAG/53N16/2018/01,Uttarakhand,Bageshwar,Kuwari rock slide (very less debris) Kuwari village,30.85055,76.998017,Rock Slide NA
35406,UK/UTT/53J05/2015/1806,Uttarakhand,Uttarkashi,,30.850551,78.429698,Rock Slide NA
35407,UK/UTT/53J05/2015/1692,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.850889,78.283944,Rock Slide 2012
35408,UK/BAG/53N16/2018/02,Uttarakhand,Bageshwar,Kuwari rock cum debris slide Kuwari village,30.851617,76.999167,Rock cum debris Slide NA
35409,UK/UTT/53J05/2015/1818,Uttarakhand,Uttarkashi,,30.85226,78.47213,Rock Slide NA
35410,UK/UTT/53J01/2015/1521,Uttarakhand,Uttarkashi,,30.853093,78.198299,Rock Slide NA
35411,UK/BAG/53N16/2018/04,Uttarakhand,Bageshwar,Kuwari rockslide 4 Kuwari village,30.8531,77.001617,Rock Slide NA
35412,UK/UTT/53J01/2015/1452,Uttarakhand,Uttarkashi,,30.85375,78.244861,Rock Slide NA
35413,UK/UTT/53J01/2015/1519,Uttarakhand,Uttarkashi,,30.853911,78.198449,Rock Slide NA
35414,UK/UTT/53J05/2015/1690,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.854444,78.281667,Rock Slide NA
35415,UK/UTT/53J05/2015/1688,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.854611,78.285389,Rock Slide NA
35416,UK/UTT/53J01/2015/1518,Uttarakhand,Uttarkashi,,30.854722,78.199583,Rock Slide NA
35417,UK/UTT/53J01/2015/1491,Uttarakhand,Uttarkashi,,30.855,78.247222,Rock Slide NA
35418,UK/UTT/53J01/2015/1520,Uttarakhand,Uttarkashi,,30.855278,78.199389,Rock Slide NA
35419,UK/UTT/53J05/2015/1689,Uttarakhand,Uttarkashi,,30.855278,78.281944,Rock Slide NA
35420,UK/UTT/53J01/2015/1570,Uttarakhand,Uttarkashi,,30.855451,78.08713,Rock Slide NA
35421,UK/UTT/53J05/2015/1815,Uttarakhand,Uttarkashi,,30.855516,78.438631,Rock Slide NA
